City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,dwarka,22.2394,68.9678,24.9,55,0,4.36,IN,1701955327
185,clermont,49.5,2.4167,5.1,86,100,6.19,FR,1701955329
186,boone,39.0334,-92.3335,8.07,79,2,4.14,US,1701955334
187,konarka,19.9,86.1167,22.22,87,100,4.91,IN,1701955336
188,svetlyy,54.675,20.1347,-0.97,93,100,4.44,RU,1701955338
189,apatin,45.6711,18.9847,3.98,93,100,6.28,RS,1701955112
190,el burgo de osma,41.5862,-3.0652,5.88,77,100,1.14,ES,1701955342
191,karratha,-20.7377,116.8463,29.56,57,6,5.89,AU,1701955344
192,hammerfest,70.6634,23.6821,-6.75,63,0,5.66,NO,1701955345
193,laguna,38.421,-121.4238,10.6,93,0,3.09,US,1701955347
194,manakara,-22.1333,48.0167,26.28,65,71,3.48,MG,1701955348
195,taraclia,45.9,28.6689,0.93,99,100,4.45,MD,1701955350
196,vigan,17.5747,120.3869,26.49,79,100,2.76,PH,1701955351
197,tatabanya,47.5849,18.3932,4.27,99,100,5.24,HU,1701955353
198,farafangana,-22.8167,47.8333,26.3,67,50,4.46,MG,1701955355
199,tianpeng,30.9866,103.9393,14.8,66,96,1.8,CN,1701955356
200,rio branco,-9.9747,-67.81,26.34,89,75,1.54,BR,1701955358
201,san jose,37.3394,-121.895,10.58,87,75,10.28,US,1701955250
202,praia da vitoria,38.7333,-27.0667,19.31,72,20,2.46,PT,1701955362
203,lompoc,34.6391,-120.4579,12.08,84,0,6.26,US,1701955363
204,jasper,37.2001,-94.3502,10.0,56,20,5.14,US,1701955365
205,hamilton,39.1834,-84.5333,2.65,85,20,6.69,US,1701955138
206,hermanus,-34.4187,19.2345,23.58,65,0,5.55,ZA,1701955363
207,aginskoye,51.1,114.53,-18.33,96,100,1.83,RU,1701955372
208,aioun,16.6614,-9.6149,32.51,9,96,5.59,MR,1701955373
209,souillac,-20.5167,57.5167,28.21,78,75,2.57,MU,1701955374
